"id","Geslacht","Geslacht[other]","opleiding","leeftijd","opleiding[other]","v1","v1_group","v2","v2_group","v3","v3_group","v4","v4_group","v5","v5_group","v6","v6_group","v7","v7_group","v8","v8_group","v9","v9_group","v10","v10_group","v11","v11_group","v12","v12_group","v13","v13_group","v14","v14_group","v15","v15_group","Eindvraag"
"6","man","","VWO","22","","Jelle","B","Johanna","B","Dave","B","Lex","B","Francisca","B","Amanda","A","Anyck","A","Ward","A","Anne","A","Vera","A","Pauline","B","Romy","A","Jaap","B","Lana","B","Ellen","A","Nee"
"7","man","","VWO","22","","Daan","A","Eva","A","Rens","B","Lex","A","Hester","B","Lianne","B","Anyck","B","Ward","A","Anne","A","Iris","A","Christina","B","Fenna","B","Jaap","A","Yentl","B","Maria","B","Nee"
"8","man","","VWO","22","","Jelle","B","Sanne","A","Jacob","B","Wout","A","Gwen","B","Cynthia","A","Valérie","A","Scott","B","Elisabeth","B","Cornelia","B","Megan","B","Eline","B","Freek","A","Dewi","A","Laura","A","Ja"
"9","man","","VWO","22","","","B","","A","","B","","B","","A","","B","","B","","A","","A","","A","","B","","A","","B","","A","","A",""
"10","man","","Other","99","test gerrit","Daan","A","Sanne","A","Rens","A","Douwe","B","Malou","B","Renske","B","Benthe","B","Noud","A","Tessa","A","Floor","A","Christina","B","Eline","B","Marten","B","Mila","A","Nynke","B","Nee"
"12","man","","Other","99","test3 gerrit","Jelle","B","Sanne","A","Luc","A","Douwe","B","Hester","B","Wilhelmina","B","Inez","A","Jelte","B","Elisabeth","B","Lieke","A","Marissa","A","Romy","A","Finn","B","Stella","A","Laura","A","Nee"
"14","man","","Other","99","test4 Gerrit","Jelle","B","Femke","B","Rens","B","Lex","B","Francisca","A","Nadine","A","Anyck","B","Markus","B","Joyce","B","Vera","A","Annemarie","A","Romy","A","Jaap","A","Rinske","B","Ellen","A","Nee"
"16","","","","","","","B","","A","","A","","A","","B","","A","","A","","B","","B","","A","","B","","B","","B","","B","","A",""
"17","man","","VWO","22","","Tom","A","Johanna","B","Hidde","B","Lex","A","Antonia","A","Wilhelmina","B","Anyck","B","Noud","A","Anne","B","Iris","A","Wietske","B","Romy","A","Arend","B","Theresia","B","Laura","A","Ja"
"18","man","","WO","33","","Willem","B","Femke","B","Rens","A","Lex","A","Margaretha","A","Sabrina","A","Anyck","A","Ward","B","Anne","A","Britt","B","Pauline","B","Denise","A","Finn","B","Lana","B","Nynke","B","Ja"
"19","man","","VWO","22","","Bart","A","Eva","A","Dave","B","Lex","B","Margaretha","A","Sabrina","A","Inez","A","Markus","B","Maaike","B","Floor","A","Megan","B","Naomi","A","Freek","A","Rinske","B","Jill","B","Nee"
"20","man","","Other","99","test5 Gerrit","Daan","A","Sanne","A","Rens","B","Lex","A","Francisca","A","Nadine","A","Anyck","A","Ward","B","Anne","A","Iris","B","Pauline","B","Romy","A","Jaap","B","Lana","B","Laura","B","Nee"
"21","vrouw","","WO","24","","Daan","A","Eva","A","Luc","A","Douwe","B","Hester","B","Renske","B","Jantine","B","Markus","B","Nina","A","Nienke","B","Pauline","A","Romy","B","Boris","A","Lana","B","Sandra","A","Nee"
"22","man","","WO","54","","Daan","B","Sanne","A","Luc","A","Douwe","B","Malou","B","Renske","B","Inez","A","Ward","A","Nina","A","Nienke","B","Pauline","A","Romy","B","Jaap","B","Lana","A","Laura","A","Nee"
"23","man","","WO","60","","Daan","B","Lisa","A","Hidde","B","Douwe","B","Margaretha","A","Cynthia","A","Valérie","A","Ward","A","Elisabeth","B","Floor","A","Wietske","B","Romy","B","Freek","A","Rinske","B","Jill","B","Nee"
"24","man","","VWO","16","","Daan","B","Femke","B","Luc","A","Wout","A","Carolina","A","Nadine","B","Jantine","B","Jelte","B","Tessa","A","Vera","A","Pauline","B","Eline","B","Freek","A","Dewi","A","Jill","B","Nee"
"25","man","","VWO","16","","Daan","B","Roos","A","Hidde","B","Jort","A","Malou","B","Cynthia","A","Valérie","A","Noud","A","Joyce","B","Vera","A","Wietske","B","Romy","B","Freek","A","Rinske","B","Sandra","A","Nee"
"26","man","","VWO","16","","Mike","B","Roos","A","Hidde","B","Lex","A","Margaretha","A","Nadine","A","Marie","A","Ward","B","Tessa","A","Nienke","B","Willemijn","A","Eline","B","Finn","B","Theresia","B","Ilse","A","Nee"
"27","man","","VWO","16","","Daan","B","Lisa","A","Rens","B","Lex","B","Francisca","A","Nadine","A","Anyck","B","Scott","B","Joyce","B","Iris","A","Wietske","B","Denise","A","Arend","B","Lana","A","Ellen","A","Nee"
"28","vrouw","","HBO","47","","Bart","A","Sanne","A","Rens","B","Harmen","B","Carolina","A","Amanda","A","Valérie","A","Ward","B","Anne","B","Iris","A","Megan","B","Eline","B","Jaap","A","Mila","A","Laura","B","Nee"
"29","vrouw","","WO","25","","Daan","B","Sanne","B","Rens","A","Mitch","B","Francisca","B","Lianne","B","Valérie","A","Noud","A","Nina","A","Iris","B","Willemijn","A","Sharon","A","Jaap","B","Rinske","B","Laura","A","Nee"
"30","man","","WO","25","","Daan","B","Lisa","A","Rens","A","Lex","B","Carolina","A","Amanda","A","Anyck","B","Abel","A","Maaike","B","Iris","B","Christina","B","Fenna","B","Arend","B","Dewi","A","Laura","A","Nee"
"31","vrouw","","WO","56","","Bart","A","Sanne","B","Rens","A","Mitch","B","Antonia","A","Sabrina","A","Anyck","B","Noud","A","Tessa","A","Britt","B","Christina","B","Romy","B","Freek","A","Dewi","A","Nynke","B","Nee"
"32","man","","WO","39","","Rick","A","Sanne","B","Hidde","B","Harmen","B","Francisca","B","Renske","B","Lois","B","Ward","A","Anne","A","Floor","A","Annemarie","A","Romy","B","Boris","A","Rinske","B","Laura","A","Nee"
"33","vrouw","","WO","37","","Daan","A","Lisa","A","Dave","B","Jort","A","Gwen","B","Renske","B","Anyck","B","Noud","A","Lotte","A","Floor","A","Pauline","B","Eline","B","Jaap","A","Dewi","A","Jill","B","Nee"
"34","vrouw","","WO","24","","Bart","A","Sanne","A","Joep","A","Douwe","B","Hester","B","Nadine","A","Benthe","B","Ward","B","Anne","A","Iris","A","Willemijn","A","Fenna","B","Freek","A","Lana","B","Maria","B","Ja"
"35","man","","WO","26","","Rick","A","Johanna","B","Rens","B","Wout","A","Carolina","A","Nadine","A","Benthe","B","Scott","B","Lotte","A","Britt","B","Willemijn","A","Denise","A","Mart","A","Rinske","B","Laura","B","Ja"
"36","vrouw","","WO","55","","Willem","B","Sanne","A","Luc","A","Mitch","B","Margaretha","A","Sabrina","A","Valérie","A","Noud","A","Tessa","A","Iris","B","Christina","B","Romy","B","Finn","B","Yentl","B","Jill","B","Nee"
"37","man","","WO","27","","Bart","A","Eva","A","Rens","B","Douwe","B","Francisca","A","Renske","B","Lois","B","Jelte","B","Anne","A","Lieke","A","Pauline","A","Romy","B","Jaap","A","Dewi","A","Nynke","B","Nee"
"38","vrouw","","WO","22","","Daan","B","Sanne","B","Rens","A","Jort","A","Francisca","B","Renske","B","Anyck","A","Jelte","B","Anne","B","Nienke","B","Willemijn","A","Denise","A","Freek","A","Dewi","A","Sandra","A","Nee"
"39","vrouw","","WO","49","","Bart","A","Sanne","B","Sem","A","Wout","A","Malou","B","Sabrina","A","Anyck","B","Ward","A","Joyce","B","Lieke","A","Pauline","A","Fenna","B","Finn","B","Mila","A","Laura","B","Nee"
"40","vrouw","","WO","23","","Daan","A","Roos","A","Rens","B","Douwe","B","Francisca","A","Sabrina","A","Valérie","A","Ward","B","Joyce","B","Iris","B","Willemijn","A","Eline","B","Freek","A","Rinske","B","Nynke","B","Nee"
"41","vrouw","","HBO","18","","Bart","A","Roos","A","Rens","B","Lex","B","Hester","B","Cynthia","A","Anyck","A","Jelte","B","Nina","A","Britt","B","Annemarie","A","Romy","B","Boris","A","Rinske","B","Nynke","B","Nee"
"42","vrouw","","Other","24","GERMAN UNI","Willem","B","Sanne","A","Luc","A","Jip","A","Malou","B","Renske","B","Anyck","B","Sten","A","Maaike","B","Iris","A","Megan","B","Naomi","A","Mart","A","Theresia","B","Laura","A","Nee"
"43","man","","WO","24","","Mike","B","Eva","A","Luc","A","Jort","A","Margaretha","A","Sabrina","A","Jantine","B","Markus","B","Tessa","A","Nienke","B","Annemarie","A","Eline","B","Finn","B","Lana","B","Laura","A","Nee"
"44","vrouw","","VWO","13","","Daan","B","Femke","B","Rens","A","Wout","A","Francisca","A","Lianne","B","Lois","B","Ward","A","Lotte","A","Nienke","B","Megan","B","Romy","B","Freek","A","Dewi","A","Jill","B","Nee"
"45","vrouw","","VWO","16","","Willem","B","Sanne","A","Rens","B","Jort","A","Margaretha","A","Wilhelmina","B","Lois","B","Sten","A","Joyce","B","Nienke","B","Willemijn","A","Fenna","B","Mart","A","Dewi","A","Jill","B","Nee"
"46","man","","VWO","14","","Daan","B","Sanne","A","Jacob","B","Douwe","B","Francisca","A","Nadine","A","Marie","A","Jelte","B","Tessa","A","Lieke","A","Wietske","B","Eline","B","Mart","A","Lana","B","Laura","A","Nee"
"47","vrouw","","WO","35","","Daan","B","Femke","B","Rens","B","Jort","A","Francisca","A","Amanda","A","Anyck","A","Noud","A","Nina","A","Nienke","B","Willemijn","A","Eline","B","Marten","B","Yentl","B","Laura","B","Nee"
"48","vrouw","","WO","20","","Bart","A","Johanna","B","Rens","A","Jort","A","Francisca","A","Sabrina","A","Benthe","B","Ward","B","Nina","A","Vera","A","Annemarie","A","Eline","B","Marten","B","Rinske","B","Maria","B","Ja"
"49","vrouw","","WO","22","","Daan","A","Kim","B","Rens","A","Wout","A","Carolina","A","Cynthia","A","Anyck","B","Jelte","B","Nina","A","Iris","B","Pauline","B","Romy","B","Marten","B","Yentl","B","Ilse","A","Nee"
"50","man","","WO","79","","Bart","A","Femke","B","Sem","A","Mitch","B","Francisca","A","Sabrina","A","Anyck","B","Jelte","B","Anne","A","Nienke","B","Annemarie","A","Eline","B","Arend","B","Mila","A","Jill","B","Nee"
"51","vrouw","","WO","59","","Jelle","B","Femke","B","Joep","A","Mitch","B","Francisca","B","Cynthia","A","Valérie","A","Ward","A","Anne","B","Iris","B","Willemijn","A","Denise","A","Marten","B","Yentl","B","Ilse","A","Nee"
"52","man","","WO","40","","Rick","A","Lisa","A","Luc","A","Douwe","B","Hester","B","Renske","B","Valérie","A","Ward","B","Tessa","A","Iris","A","Wietske","B","Eline","B","Freek","A","Dewi","A","Jill","B","Nee"
